"id","bankaccounts","esemail","esid","esnpwpnumber","esname","essubcoid","estelpnumber","estype","eswebsite","createdby","createddate","modifiedby","modifieddate","esstatus","orglegaldocument","orgstructuretpl","parent","pic","taxoffice"
283,[],co_secretary@ag.co.id,ES-1604909720444,,Bank Artha Graha Pantai Indah Kapuk (KCP),SUBCO-160490972044520,"0215882622","{""bizparKey"":""CORPTYPE-KCP"",""bizparStatus"":""ACTIVE"",""bizparValue"":""KCP"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-01-2020 14:45:07"",""modifiedBy"":"""",""modifiedDate"":null},""bizparCategory"":""CORPORATE_TYPE""}",www.arthagraha.com,EMP-205,2020-11-09 14:14:58,EMP-205,2020-11-10 14:00:36,ACTIVE,"{""orgLegalDocumentID"":null,""orgLegalDocumentURL"":null}","[{""orgStructureTPLID"":""OS-1604909880803"",""orgStructureTPLName"":""Bank Artha Graha Pantai Indah Kapuk (KCP)"",""orgStructureStartDate"":null,""orgStructureEndDate"":null,""isOrgStructureDefault"":true,""orgStructureTag"":""V-1604909880803"",""orgStructureSKNumber"":"""",""orgStructureTPLStatus"":""ACTIVE"",""referenceOrgStructureTPLID"":""STR-3758F262""}]",ES-1604908974347,"",
289,[],co_secretary@ag.co.id,ES-1604910589439,,Bank Artha Graha Depok (KCP),SUBCO-160491058943949,"0217875154","{""bizparKey"":""CORPTYPE-KCP"",""bizparStatus"":""ACTIVE"",""bizparValue"":""KCP"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-01-2020 14:45:07"",""modifiedBy"":"""",""modifiedDate"":null},""bizparCategory"":""CORPORATE_TYPE""}",www.arthagraha.com,EMP-205,2020-11-09 14:46:28,EMP-205,2020-11-10 14:00:36,ACTIVE,"{""orgLegalDocumentID"":null,""orgLegalDocumentURL"":null}","[{""orgStructureTPLID"":""OS-1604910632176"",""orgStructureTPLName"":""Bank Artha Graha Depok (KCP)"",""orgStructureStartDate"":null,""orgStructureEndDate"":null,""isOrgStructureDefault"":true,""orgStructureTag"":""V-1604910632176"",""orgStructureSKNumber"":"""",""orgStructureTPLStatus"":""ACTIVE"",""referenceOrgStructureTPLID"":""STR-BE48AAD5""}]",ES-1604910523139,"",
282,[],co_secretary@ag.co.id,ES-1604909606678,,Bank Artha Graha Pluit (KCP),SUBCO-160490960667826,"02166692222","{""bizparKey"":""CORPTYPE-KCP"",""bizparStatus"":""ACTIVE"",""bizparValue"":""KCP"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-01-2020 14:45:07"",""modifiedBy"":"""",""modifiedDate"":null},""bizparCategory"":""CORPORATE_TYPE""}",www.arthagraha.com,EMP-205,2020-11-09 14:14:58,EMP-205,2020-11-10 14:00:36,ACTIVE,"{""orgLegalDocumentID"":null,""orgLegalDocumentURL"":null}","[{""orgStructureTPLID"":""OS-1604909691066"",""orgStructureTPLName"":""Bank Artha Graha Pluit (KCP)"",""orgStructureStartDate"":null,""orgStructureEndDate"":null,""isOrgStructureDefault"":true,""orgStructureTag"":""V-1604909691067"",""orgStructureSKNumber"":"""",""orgStructureTPLStatus"":""ACTIVE"",""referenceOrgStructureTPLID"":""STR-69349AF4""}]",ES-1604908974347,"",
287,[],co_secretary@ag.co.id,ES-1604910416799,,Bank Artha Graha City Home MOI (KK),SUBCO-160491041679956,"02145870100","{""bizparKey"":""CORPTYPE-KK"",""bizparStatus"":""ACTIVE"",""bizparValue"":""KK"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-01-2020 14:45:07"",""modifiedBy"":"""",""modifiedDate"":null},""bizparCategory"":""CORPORATE_TYPE""}",www.arthagraha.com,EMP-205,2020-11-09 14:46:28,EMP-205,2020-11-10 14:00:36,ACTIVE,"{""orgLegalDocumentID"":null,""orgLegalDocumentURL"":null}","[{""orgStructureTPLID"":""OS-1604910477174"",""orgStructureTPLName"":""Bank Artha Graha City Home MOI (KK)"",""orgStructureStartDate"":null,""orgStructureEndDate"":null,""isOrgStructureDefault"":true,""orgStructureTag"":""V-1604910477175"",""orgStructureSKNumber"":"""",""orgStructureTPLStatus"":""ACTIVE"",""referenceOrgStructureTPLID"":""STR-45EF4408""}]",ES-1604908974347,"",
288,[],"",ES-1604910523139,,Bank Artha Graha Bogor (KCI),SUBCO-160491052313943,"02518352285","{""bizparKey"":""CORPTYPE-KC"",""bizparStatus"":""ACTIVE"",""bizparValue"":""KCI"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-01-2020 14:45:07"",""modifiedBy"":"""",""modifiedDate"":null},""bizparCategory"":""CORPORATE_TYPE""}","",EMP-205,2020-11-09 14:46:28,SYSTEM,,ACTIVE,"{""orgLegalDocumentID"":null,""orgLegalDocumentURL"":null}","[{""orgStructureTPLID"":""OS-1604910567912"",""orgStructureTPLName"":""Bank Artha Graha Bogor (KCI)"",""orgStructureStartDate"":null,""orgStructureEndDate"":null,""isOrgStructureDefault"":true,""orgStructureTag"":""V-1604910567912"",""orgStructureSKNumber"":"""",""orgStructureTPLStatus"":""ACTIVE"",""referenceOrgStructureTPLID"":""STR-0A06B33E""}]",ES-1604890793920,"",
253,[],"",ES-1603854611244,,Bank Artha Graha Sudirman (KPNO),SUBCO-160385461124411,"0215152168","{""bizparKey"":""CORPTYP-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""KPNO"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-01-2020 14:45:07"",""modifiedBy"":"""",""modifiedDate"":null},""bizparCategory"":""CORPORATE_TYPE""}",www.arthagraha.com,EMP-205,2020-10-28 10:06:23,EMP-205,2020-11-08 11:15:18,INACTIVE,"{""orgLegalDocumentID"":null,""orgLegalDocumentURL"":null}","[{""orgStructureTPLID"":""OS-1603857294010"",""orgStructureTPLName"":""Bank Artha Graha Sudirman (KPNO)"",""orgStructureStartDate"":null,""orgStructureEndDate"":null,""isOrgStructureDefault"":true,""orgStructureTag"":""V-1603857294011"",""orgStructureSKNumber"":"""",""orgStructureTPLStatus"":""INACTIVE"",""referenceOrgStructureTPLID"":""""}]","","",
255,[],"",ES-1604890991120,,Bank Artha Graha Sudirman (KCI),SUBCO-160489099112011,"0215152168","{""bizparKey"":""CORPTYPE-KC"",""bizparStatus"":""ACTIVE"",""bizparValue"":""KCI"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-01-2020 14:45:07"",""modifiedBy"":"""",""modifiedDate"":null},""bizparCategory"":""CORPORATE_TYPE""}","",EMP-205,2020-11-09 09:08:03,EMP-205,2020-11-10 10:58:00,ACTIVE,"{""orgLegalDocumentID"":null,""orgLegalDocumentURL"":null}","[{""orgStructureTPLID"":""OS-1604891031672"",""orgStructureTPLName"":""Bank Artha Graha Sudirman (KCI)"",""orgStructureStartDate"":null,""orgStructureEndDate"":null,""isOrgStructureDefault"":true,""orgStructureTag"":""V-1604891031673"",""orgStructureSKNumber"":"""",""orgStructureTPLStatus"":""ACTIVE"",""referenceOrgStructureTPLID"":""STR-A92AB41F""}]",ES-1604890793920,"",
256,[],"",ES-1604891896911,,Bank Artha Graha Melawai (KCI),SUBCO-160489189691116,"0217219303","{""bizparKey"":""CORPTYPE-KC"",""bizparStatus"":""ACTIVE"",""bizparValue"":""KCI"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-01-2020 14:45:07"",""modifiedBy"":"""",""modifiedDate"":null},""bizparCategory"":""CORPORATE_TYPE""}","",EMP-205,2020-11-09 09:08:03,SYSTEM,,ACTIVE,"{""orgLegalDocumentID"":null,""orgLegalDocumentURL"":null}","[{""orgStructureTPLID"":""OS-1604891954105"",""orgStructureTPLName"":""Bank Artha Graha Melawai (KCI)"",""orgStructureStartDate"":null,""orgStructureEndDate"":null,""isOrgStructureDefault"":true,""orgStructureTag"":""V-1604891954105"",""orgStructureSKNumber"":"""",""orgStructureTPLStatus"":""ACTIVE"",""referenceOrgStructureTPLID"":""STR-EF1595CC""}]",ES-1604890793920,"",
292,[],"",ES-1604911268228,,Bank Artha Graha Cikarang (KCI),SUBCO-160491126822908,"02189908966","{""bizparKey"":""CORPTYPE-KC"",""bizparStatus"":""ACTIVE"",""bizparValue"":""KCI"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-01-2020 14:45:07"",""modifiedBy"":"""",""modifiedDate"":null},""bizparCategory"":""CORPORATE_TYPE""}","",EMP-205,2020-11-09 14:46:28,SYSTEM,,ACTIVE,"{""orgLegalDocumentID"":null,""orgLegalDocumentURL"":null}","[{""orgStructureTPLID"":""OS-1604911359420"",""orgStructureTPLName"":""Bank Artha Graha Cikarang (KCI)"",""orgStructureStartDate"":null,""orgStructureEndDate"":null,""isOrgStructureDefault"":true,""orgStructureTag"":""V-1604911359421"",""orgStructureSKNumber"":"""",""orgStructureTPLStatus"":""ACTIVE"",""referenceOrgStructureTPLID"":""STR-EAC35F4F""}]",ES-1604890793920,"",
331,[],"",ES-1605077692166,,BANK ARTHA GRAHA 2,SUBCO-160507769216652,"2352345435","{""bizparKey"":""CORPTYP-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""KPNO"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-01-2020 14:45:07"",""modifiedBy"":"""",""modifiedDate"":null},""bizparCategory"":""CORPORATE_TYPE""}","",EMP-205,2020-11-11 13:30:51,EMP-205,2020-11-11 13:30:51,INACTIVE,"{""orgLegalDocumentID"":null,""orgLegalDocumentURL"":null}",[],"","",
